[INFO] [1783986889.383350977] [laser_mapping]: p_pre->lidar_type 5
Multi thread started 
~~~~/home/hyper/program/2026_Gsing-second_ROS/fastlio2_v2/src/unilidar_fastlio_ros2-ros2/ file opened
[INFO] [1783987211.387031501] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987212.387038496] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987213.387039335] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987214.387048801] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987215.387049638] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987216.387044062] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987217.387041088] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987218.387054397] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987219.387045716] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987220.387068128] [laser_mapping]: publish_map: frame pts=0, total=0
